technique_id,name,impact
T1055.013,Process Doppelgänging,Medium
T1016,System Network Configuration Discovery,Medium
T1578.003,Delete Cloud Instance,Medium
T1593.003,Code Repositories,Medium
T1574.005,Executable Installer File Permissions Weakness,Medium
T1546.008,Accessibility Features,Medium
T1496.002,Bandwidth Hijacking,Medium
T1504,PowerShell Profile,Medium
T1198,SIP and Trust Provider Hijacking,Medium
T1087,Account Discovery,Medium
T1090,Proxy,Medium
T1059,Command and Scripting Interpreter,High
T1204.005,Malicious Library,High
T1562.006,Indicator Blocking,Medium
T1136.002,Domain Account,Medium
T1564.014,Extended Attributes,Medium
T1589.003,Employee Names,Medium
T1677,Poisoned Pipeline Execution,High
T1482,Domain Trust Discovery,Medium
T1558.001,Golden Ticket,Medium
T1175,Component Object Model and Distributed COM,High
T1020,Automated Exfiltration,Medium
T1592.004,Client Configurations,Medium
T1562.007,Disable or Modify Cloud Firewall,Medium
T1219.001,IDE Tunneling,Medium
T1036.002,Right-to-Left Override,Medium
T1588.001,Malware,Medium
T1027.017,SVG Smuggling,Medium
T1542.002,Component Firmware,Medium
T1070,Indicator Removal,Medium
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Medium
T1137.001,Office Template Macros,Medium
T1583.003,Virtual Private Server,Medium
T1213.001,Confluence,Medium
T1550.003,Pass the Ticket,Medium
T1609,Container Administration Command,High
T1083,File and Directory Discovery,Medium
T1568,Dynamic Resolution,Medium
T1036.004,Masquerade Task or Service,Medium
T1055.004,Asynchronous Procedure Call,Medium
T1020.001,Traffic Duplication,Medium
T1138,Application Shimming,Medium
T1647,Plist File Modification,Medium
T1127.003,JamPlus,Medium
T1546.009,AppCert DLLs,Medium
T1191,CMSTP,High
T1188,Multi-hop Proxy,Medium
T1114.003,Email Forwarding Rule,Medium
T1074,Data Staged,Medium
T1649,Steal or Forge Authentication Certificates,Medium
T1098.005,Device Registration,Medium
T1049,System Network Connections Discovery,Medium
T1584,Compromise Infrastructure,Medium
T1553.005,Mark-of-the-Web Bypass,Medium
T1600.002,Disable Crypto Hardware,Medium
T1542,Pre-OS Boot,Medium
T1064,Scripting,High
T1612,Build Image on Host,Medium
T1051,Shared Webroot,Medium
T1055.002,Portable Executable Injection,Medium
T1218.012,Verclsid,Medium
T1586,Compromise Accounts,Medium
T1569.001,Launchctl,High
T1584.005,Botnet,Medium
T1059.008,Network Device CLI,High
T1552.003,Shell History,Medium
T1562.010,Downgrade Attack,Medium
T1559.003,XPC Services,High
T1497,Virtualization/Sandbox Evasion,Medium
T1102,Web Service,Medium
T1552.001,Credentials In Files,Medium
T1568.003,DNS Calculation,Medium
T1218.005,Mshta,Medium
T1547.015,Login Items,Medium
T1608,Stage Capabilities,Medium
T1608.005,Link Target,Medium
T1104,Multi-Stage Channels,Medium
T1657,Financial Theft,Medium
T1480,Execution Guardrails,Medium
T1619,Cloud Storage Object Discovery,Medium
T1606.001,Web Cookies,Medium
T1654,Log Enumeration,Medium
T1134.001,Token Impersonation/Theft,Medium
T1567.001,Exfiltration to Code Repository,Medium
T1021.007,Cloud Services,Medium
T1205.001,Port Knocking,Medium
T1027.012,LNK Icon Smuggling,Medium
T1583.006,Web Services,Medium
T1528,Steal Application Access Token,Medium
T1598.002,Spearphishing Attachment,Medium
T1098.001,Additional Cloud Credentials,Medium
T1204,User Execution,High
T1491.001,Internal Defacement,Medium
T1564.002,Hidden Users,Medium
T1134.003,Make and Impersonate Token,Medium
T1552.006,Group Policy Preferences,Medium
T1196,Control Panel Items,High
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Medium
T1087.004,Cloud Account,Medium
T1057,Process Discovery,Medium
T1562.003,Impair Command History Logging,Medium
T1053.004,Launchd,High
T1556.008,Network Provider DLL,Medium
T1546.003,Windows Management Instrumentation Event Subscription,Medium
T1596.004,CDNs,Medium
T1497.002,User Activity Based Checks,Medium
T1141,Input Prompt,Medium
T1496.004,Cloud Service Hijacking,Medium
T1585.003,Cloud Accounts,Medium
T1072,Software Deployment Tools,High
T1041,Exfiltration Over C2 Channel,Medium
T1134.004,Parent PID Spoofing,Medium
T1591,Gather Victim Org Information,Medium
T1060,Registry Run Keys / Startup Folder,Medium
T1606,Forge Web Credentials,Medium
T1621,Multi-Factor Authentication Request Generation,Medium
T1554,Compromise Host Software Binary,Medium
T1552.008,Chat Messages,Medium
T1059.001,PowerShell,High
T1023,Shortcut Modification,Medium
T1546.001,Change Default File Association,Medium
T1055.014,VDSO Hijacking,Medium
T1026,Multiband Communication,Medium
T1071.002,File Transfer Protocols,Medium
T1679,Selective Exclusion,Medium
T1122,Component Object Model Hijacking,Medium
T1015,Accessibility Features,Medium
T1212,Exploitation for Credential Access,Medium
T1546.014,Emond,Medium
T1102.003,One-Way Communication,Medium
T1590,Gather Victim Network Information,Medium
T1210,Exploitation of Remote Services,Medium
T1502,Parent PID Spoofing,Medium
T1142,Keychain,Medium
T1534,Internal Spearphishing,Medium
T1169,Sudo,Medium
T1574.010,Services File Permissions Weakness,Medium
T1547.001,Registry Run Keys / Startup Folder,Medium
T1199,Trusted Relationship,High
T1136.003,Cloud Account,Medium
T1069.001,Local Groups,Medium
T1149,LC_MAIN Hijacking,Medium
T1593,Search Open Websites/Domains,Medium
T1562.013,Disable or Modify Network Device Firewall,Medium
T1098,Account Manipulation,Medium
T1170,Mshta,High
T1048,Exfiltration Over Alternative Protocol,Medium
T1547.006,Kernel Modules and Extensions,Medium
T1678,Delay Execution,Medium
T1056.002,GUI Input Capture,Medium
T1097,Pass the Ticket,Medium
T1588.002,Tool,Medium
T1052.001,Exfiltration over USB,Medium
T1574.013,KernelCallbackTable,Medium
T1597,Search Closed Sources,Medium
T1053.006,Systemd Timers,High
T1566,Phishing,High
T1061,Graphical User Interface,High
T1542.004,ROMMONkit,Medium
T1218.001,Compiled HTML File,Medium
T1496.001,Compute Hijacking,Medium
T1070.005,Network Share Connection Removal,Medium
T1090.003,Multi-hop Proxy,Medium
T1110,Brute Force,Medium
T1059.004,Unix Shell,High
T1137.003,Outlook Forms,Medium
T1219.003,Remote Access Hardware,Medium
T1157,Dylib Hijacking,Medium
T1562.001,Disable or Modify Tools,Medium
T1565,Data Manipulation,Medium
T1559,Inter-Process Communication,High
T1001,Data Obfuscation,Medium
T1039,Data from Network Shared Drive,Medium
T1584.006,Web Services,Medium
T1601,Modify System Image,Medium
T1574,Hijack Execution Flow,Medium
T1036.012,Browser Fingerprint,Medium
T1059.011,Lua,High
T1027.005,Indicator Removal from Tools,Medium
T1204.003,Malicious Image,High
T1543.005,Container Service,Medium
T1078,Valid Accounts,High
T1571,Non-Standard Port,Medium
T1585.001,Social Media Accounts,Medium
T1073,DLL Side-Loading,Medium
T1055.012,Process Hollowing,Medium
T1068,Exploitation for Privilege Escalation,Medium
T1564.009,Resource Forking,Medium
T1531,Account Access Removal,Medium
T1110.004,Credential Stuffing,Medium
T1208,Kerberoasting,Medium
T1027,Obfuscated Files or Information,Medium
T1556.006,Multi-Factor Authentication,Medium
T1114.002,Remote Email Collection,Medium
T1505.004,IIS Components,Medium
T1036.001,Invalid Code Signature,Medium
T1564.006,Run Virtual Instance,Medium
T1154,Trap,High
T1027.014,Polymorphic Code,Medium
T1201,Password Policy Discovery,Medium
T1546,Event Triggered Execution,Medium
T1546.004,Unix Shell Configuration Modification,Medium
T1187,Forced Authentication,Medium
T1134.005,SID-History Injection,Medium
T1599,Network Boundary Bridging,Medium
T1486,Data Encrypted for Impact,Medium
T1488,Disk Content Wipe,Medium
T1553,Subvert Trust Controls,Medium
T1548.004,Elevated Execution with Prompt,Medium
T1592.003,Firmware,Medium
T1573,Encrypted Channel,Medium
T1174,Password Filter DLL,Medium
T1547.002,Authentication Package,Medium
T1218.010,Regsvr32,Medium
T1002,Data Compressed,Medium
T1567.003,Exfiltration to Text Storage Sites,Medium
T1081,Credentials in Files,Medium
T1592.002,Software,Medium
T1128,Netsh Helper DLL,Medium
T1056,Input Capture,Medium
T1566.004,Spearphishing Voice,High
T1587.004,Exploits,Medium
T1593.001,Social Media,Medium
T1213.004,Customer Relationship Management Software,Medium
T1546.015,Component Object Model Hijacking,Medium
T1589.001,Credentials,Medium
T1195.002,Compromise Software Supply Chain,High
T1036.003,Rename Legitimate Utilities,Medium
T1102.002,Bidirectional Communication,Medium
T1203,Exploitation for Client Execution,High
T1595.003,Wordlist Scanning,Medium
T1667,Email Bombing,Medium
T1562.011,Spoof Security Alerting,Medium
T1137.004,Outlook Home Page,Medium
T1573.002,Asymmetric Cryptography,Medium
T1567.002,Exfiltration to Cloud Storage,Medium
T1570,Lateral Tool Transfer,Medium
T1574.009,Path Interception by Unquoted Path,Medium
T1608.003,Install Digital Certificate,Medium
T1168,Local Job Scheduling,High
T1166,Setuid and Setgid,Medium
T1037.005,Startup Items,Medium
T1100,Web Shell,Medium
T1186,Process Doppelgänging,Medium
T1184,SSH Hijacking,Medium
T1614.001,System Language Discovery,Medium
T1095,Non-Application Layer Protocol,Medium
T1075,Pass the Hash,Medium
T1059.013,Container CLI/API,High
T1027.003,Steganography,Medium
T1584.002,DNS Server,Medium
T1671,Cloud Application Integration,Medium
T1001.003,Protocol or Service Impersonation,Medium
T1012,Query Registry,Medium
T1030,Data Transfer Size Limits,Medium
T1028,Windows Remote Management,High
T1550.004,Web Session Cookie,Medium
T1078.002,Domain Accounts,High
T1218.009,Regsvcs/Regasm,Medium
T1034,Path Interception,Medium
T1546.018,Python Startup Hooks,Medium
T1506,Web Session Cookie,Medium
T1553.004,Install Root Certificate,Medium
T1037.003,Network Logon Script,Medium
T1499,Endpoint Denial of Service,Medium
T1027.004,Compile After Delivery,Medium
T1065,Uncommonly Used Port,Medium
T1614,System Location Discovery,Medium
T1564.007,VBA Stomping,Medium
T1197,BITS Jobs,Medium
T1127.001,MSBuild,Medium
T1656,Impersonation,Medium
T1578.005,Modify Cloud Compute Configurations,Medium
T1088,Bypass User Account Control,Medium
T1494,Runtime Data Manipulation,Medium
T1090.004,Domain Fronting,Medium
T1557.002,ARP Cache Poisoning,Medium
T1562.008,Disable or Modify Cloud Logs,Medium
T1518.001,Security Software Discovery,Medium
T1564.003,Hidden Window,Medium
T1493,Transmitted Data Manipulation,Medium
T1127.002,ClickOnce,Medium
T1059.006,Python,High
T1070.010,Relocate Malware,Medium
T1591.004,Identify Roles,Medium
T1132,Data Encoding,Medium
T1546.010,AppInit DLLs,Medium
T1598,Phishing for Information,Medium
T1496,Resource Hijacking,Medium
T1585,Establish Accounts,Medium
T1588,Obtain Capabilities,Medium
T1546.002,Screensaver,Medium
T1147,Hidden Users,Medium
T1556.009,Conditional Access Policies,Medium
T1578.002,Create Cloud Instance,Medium
T1500,Compile After Delivery,Medium
T1555.006,Cloud Secrets Management Stores,Medium
T1213.003,Code Repositories,Medium
T1565.002,Transmitted Data Manipulation,Medium
T1003.008,/etc/passwd and /etc/shadow,Medium
T1543.001,Launch Agent,Medium
T1569,System Services,High
T1059.003,Windows Command Shell,High
T1055.009,Proc Memory,Medium
T1223,Compiled HTML File,High
T1650,Acquire Access,Medium
T1601.001,Patch System Image,Medium
T1558.002,Silver Ticket,Medium
T1213,Data from Information Repositories,Medium
T1070.009,Clear Persistence,Medium
T1059.012,Hypervisor CLI,High
T1146,Clear Command History,Medium
T1555.004,Windows Credential Manager,Medium
T1036.010,Masquerade Account Name,Medium
T1519,Emond,Medium
T1194,Spearphishing via Service,High
T1200,Hardware Additions,High
T1219.002,Remote Desktop Software,Medium
T1505,Server Software Component,Medium
T1485,Data Destruction,Medium
T1132.002,Non-Standard Encoding,Medium
T1556.001,Domain Controller Authentication,Medium
T1537,Transfer Data to Cloud Account,Medium
T1027.006,HTML Smuggling,Medium
T1556.005,Reversible Encryption,Medium
T1027.010,Command Obfuscation,Medium
T1130,Install Root Certificate,Medium
T1022,Data Encrypted,Medium
T1070.004,File Deletion,Medium
T1189,Drive-by Compromise,High
T1498,Network Denial of Service,Medium
T1651,Cloud Administration Command,High
T1546.016,Installer Packages,Medium
T1595.001,Scanning IP Blocks,Medium
T1158,Hidden Files and Directories,Medium
T1221,Template Injection,Medium
T1037.004,RC Scripts,Medium
T1134,Access Token Manipulation,Medium
T1209,Time Providers,Medium
T1111,Multi-Factor Authentication Interception,Medium
T1159,Launch Agent,Medium
T1027.002,Software Packing,Medium
T1584.007,Serverless,Medium
T1071.001,Web Protocols,Medium
T1059.005,Visual Basic,High
T1564.005,Hidden File System,Medium
T1543.002,Systemd Service,Medium
T1668,Exclusive Control,Medium
T1563.002,RDP Hijacking,Medium
T1136,Create Account,Medium
T1547.013,XDG Autostart Entries,Medium
T1584.004,Server,Medium
T1672,Email Spoofing,Medium
T1526,Cloud Service Discovery,Medium
T1204.004,Malicious Copy and Paste,High
T1151,Space after Filename,High
T1018,Remote System Discovery,Medium
T1046,Network Service Discovery,Medium
T1590.001,Domain Properties,Medium
T1518,Software Discovery,Medium
T1538,Cloud Service Dashboard,Medium
T1055.005,Thread Local Storage,Medium
T1622,Debugger Evasion,Medium
T1036.006,Space after Filename,Medium
T1547.007,Re-opened Applications,Medium
T1608.006,SEO Poisoning,Medium
T1550.002,Pass the Hash,Medium
T1052,Exfiltration Over Physical Medium,Medium
T1574.002,DLL Side-Loading,Medium
T1105,Ingress Tool Transfer,Medium
T1216.002,SyncAppvPublishingServer,Medium
T1098.002,Additional Email Delegate Permissions,Medium
T1588.003,Code Signing Certificates,Medium
T1126,Network Share Connection Removal,Medium
T1648,Serverless Execution,High
T1548.006,TCC Manipulation,Medium
T1084,Windows Management Instrumentation Event Subscription,Medium
T1160,Launch Daemon,Medium
T1055.008,Ptrace System Calls,Medium
T1653,Power Settings,Medium
T1027.007,Dynamic API Resolution,Medium
T1021.001,Remote Desktop Protocol,Medium
T1037.001,Logon Script (Windows),Medium
