environment,severity_weight,public_exposure,privilege_level,encryption_disabled,port_risk,history_incidents,mitre_tactic_score
dev,0.64450409848883,0,3,1,0.9146508119480539,8,0.9
staging,0.2789056969487634,0,2,0,0.23732764036075338,6,0.5
prod,0.3935113178025924,1,3,1,0.017668843834718673,7,0.5
prod,0.1708695500307641,1,2,0,0.6704651589540004,7,0.5
dev,0.12455602030071761,1,2,0,0.35579812980919634,9,0.5
staging,0.11820747336335999,0,1,1,0.5621976095803165,5,0.5
staging,0.273891592980101,1,3,1,0.8983722261259672,1,0.5
prod,0.5513136706031313,0,2,0,0.4551209959099649,7,0.5
dev,0.14369672421522728,0,3,1,0.8735839790921117,8,0.5
dev,0.8901171876625834,0,3,0,0.9489916795205394,2,0.5
prod,0.7531087559828148,1,1,0,0.6546782010512433,3,0.5
prod,0.8759182652952735,1,3,1,0.02912984922833639,3,0.5
dev,0.27944259389096004,1,3,0,0.40867571016238824,9,0.5
staging,0.8195697464205668,0,3,0,0.12229614975754155,2,0.5
dev,0.8266594229907978,1,3,0,0.05927475340098409,3,0.5
prod,0.2873485995200935,0,1,0,0.6619379917680005,7,0.5
dev,0.13938536679761002,1,2,0,0.5949652525471353,2,0.5
dev,0.3669870305369983,1,1,0,0.6280874600325747,7,0.5
prod,0.5099338846255244,1,1,0,0.6592281108053596,0,0.5
dev,0.9226439328186403,1,2,1,0.8092452765709252,8,0.5
dev,0.28127906393993063,0,1,0,0.4803520232852557,7,0.5
dev,0.5115149776108576,1,3,0,0.5532816546945892,5,0.5
prod,0.2657438750408123,1,2,1,0.47808172080060973,0,0.5
staging,0.2743448579344346,1,3,0,0.2869716752307905,3,0.5
prod,0.3188282808385068,0,3,1,0.33004375930868834,1,0.9
dev,0.6974313261749003,0,3,0,0.6761128688632129,0,0.5
prod,0.6732129448161714,0,2,1,0.6809448940047355,2,0.5
staging,0.6511022498176708,1,1,1,0.021833850020580803,8,0.5
staging,0.7136326361616705,1,3,0,0.5235129752278019,0,0.5
dev,0.39917048683223944,1,3,0,0.8623229982125289,8,0.5
staging,0.8668206626295181,0,2,0,0.9490293993825284,7,0.5
prod,0.6035225966934012,1,2,0,0.22467768921500364,0,0.5
staging,0.5310366478650768,0,1,0,0.30185780795106754,6,0.5
staging,0.5930945858012877,0,2,1,0.4378585416599938,8,0.5
prod,0.5705446486530015,1,3,0,0.6648337672075998,5,0.5
dev,0.8488441883187248,0,3,1,0.826171047978999,2,0.5
dev,0.8854292709679564,0,2,1,0.02917496436385758,8,0.5
dev,0.4917889963840526,0,3,1,0.3421007895627055,7,0.5
staging,0.40335620442670317,1,3,0,0.42655682184957255,4,0.5
prod,0.6520382423224653,0,1,0,0.20129469144473422,2,0.5
dev,0.3887540605414571,0,3,1,0.04457299065490339,9,0.5
dev,0.17826527242221185,0,3,0,0.23630052573584193,4,0.5
staging,0.7202609995184491,1,1,0,0.8961444080995793,4,0.5
staging,0.45581486843048447,1,2,1,0.04579810847088073,9,0.5
prod,0.41694501920814286,1,2,1,0.5039401221490135,0,0.5
dev,0.21137746378435127,1,1,0,0.5853971561117021,2,0.5
staging,0.8366844245562398,1,1,0,0.7861448747139607,7,0.9
dev,0.6995788960830649,1,3,1,0.9974370988880888,7,0.5
prod,0.8927150599590644,1,3,1,0.850918648627971,3,0.5
dev,0.13361308236665959,1,1,1,0.47736324283033715,9,0.9
prod,0.3944312370921883,0,1,0,0.6670221738815806,8,0.5
prod,0.7408630265759479,1,2,1,0.9128141380993553,9,0.5
dev,0.1622973569222555,1,3,1,0.09150508644797306,9,0.5
dev,0.9657783672952002,1,3,1,0.6872260151537986,3,0.5
prod,0.46918525759233987,1,1,0,0.12298508045993595,0,0.5
prod,0.555401799939078,0,1,1,0.4671456047350514,9,0.5
staging,0.22514447887504224,1,2,0,0.40956909723209756,8,0.5
staging,0.6535656648920782,0,3,1,0.030151769821977537,2,0.5
dev,0.26859059725376844,1,3,1,0.91795340402694,7,0.5
prod,0.37901280696846884,0,3,1,0.12080839718933889,7,0.5
prod,0.968053339996874,0,2,0,0.3609048975350956,4,0.5
prod,0.6525697917729159,0,3,1,0.4598759277079233,0,0.5
dev,0.8456099114882734,0,3,0,0.6028913446147486,0,0.9
staging,0.390482393250391,0,2,0,0.9936627949787721,0,0.5
dev,0.6790380292038607,0,1,1,0.029081981815339386,4,0.5
staging,0.44923006483684425,1,2,0,0.8480659891984271,9,0.5
dev,0.5225716038465207,0,1,0,0.016381282228267735,2,0.9
dev,0.448086277610547,1,3,1,0.6228163720204619,8,0.5
prod,0.511891306100264,1,1,1,0.30398417216897233,9,0.5
staging,0.8169821337206817,1,3,1,0.015704499530143634,4,0.5
staging,0.7227994594818545,1,3,0,0.47612936217368484,6,0.5
staging,0.4610094183990373,0,2,1,0.34505493158296374,2,0.5
dev,0.25731962092715055,1,1,0,0.989015813513243,1,0.5
dev,0.9607623502952959,1,3,1,0.5585273820490061,5,0.5
prod,0.5608192532606469,1,1,0,0.6007854105370427,4,0.5
prod,0.6785884119692965,1,2,1,0.1100039914353379,1,0.5
staging,0.5418322516616734,1,1,0,0.5569890875374176,5,0.5
prod,0.5492291014524961,0,3,1,0.8944288120175808,5,0.9
dev,0.156535997866401,1,1,1,0.5361884057404679,2,0.5
staging,0.767078910971786,0,3,0,0.8232205872277434,7,0.5
prod,0.6871179175236733,1,2,1,0.12504929816110066,2,0.5
staging,0.5256699610295447,1,3,1,0.5786162208435147,1,0.5
dev,0.9837375822763695,0,1,0,0.553088606008117,8,0.9
staging,0.14408018219591728,1,2,1,0.3417725290901308,3,0.5
staging,0.804497864937331,1,1,0,0.1713757607958445,6,0.5
dev,0.8367498925358562,0,1,1,0.2547402138907975,6,0.5
staging,0.17876576259418273,0,2,1,0.628583147815303,4,0.5
dev,0.33626296550777357,1,1,1,0.6032810761154989,3,0.5
prod,0.2971505399286372,0,1,1,0.5776341626835239,8,0.9
dev,0.6569106498078225,0,3,0,0.9332956231426432,6,0.5
dev,0.421957550270298,1,2,0,0.6635385291162517,8,0.5
prod,0.6386239718404916,1,2,0,0.8291286843613402,8,0.5
prod,0.8405886109816468,1,2,1,0.8395870001186388,8,0.5
staging,0.7217175630402579,0,2,0,0.7400624334996707,0,0.5
staging,0.2250502225613092,0,3,0,0.01706726587415841,3,0.9
prod,0.9934306070664825,0,2,0,0.18155636145371845,9,0.5
dev,0.9303876687304361,1,2,1,0.958113142842276,3,0.5
prod,0.5948474078449473,1,1,0,0.4165670652705439,0,0.5
dev,0.9023009130434614,0,3,1,0.9167476123508037,1,0.5
dev,0.6871645329943362,1,2,0,0.37326872157535007,3,0.5
prod,0.27641390159045703,0,2,0,0.48909238484421513,6,0.9
dev,0.88202123544235,0,3,1,0.34454392720566973,5,0.5
dev,0.3452761431585037,0,3,1,0.9441219546468451,5,0.5
staging,0.4792772306002798,0,2,0,0.2154649809379532,6,0.5
staging,0.3783560193573343,1,3,1,0.5863625216507515,7,0.5
prod,0.8169742352826097,0,3,1,0.8887484676676944,1,0.5
dev,0.9104690748852763,0,3,0,0.7976222060854107,5,0.5
staging,0.9231550075286413,1,1,1,0.7173767883346539,5,0.5
staging,0.7803366693176845,1,3,1,0.7895216489374611,0,0.5
dev,0.8147247105193134,0,1,0,0.9867882832296443,7,0.9
dev,0.18668548041969407,1,2,1,0.6155485610031525,1,0.5
dev,0.20089568313968093,0,1,0,0.3751479303945551,1,0.5
prod,0.8777359153713016,1,1,0,0.6129561593491238,5,0.5
staging,0.6158953575278323,0,3,0,0.8086242236168111,1,0.5
dev,0.23351880055820154,0,3,1,0.784934632218221,4,0.5
staging,0.48436074132955464,0,2,1,0.8550913491411798,8,0.5
staging,0.19505415758514705,0,1,1,0.6761755193917723,6,0.5
dev,0.940014698696553,1,3,1,0.2897194684410834,3,0.5
staging,0.6541294905671788,0,2,1,0.29162945916463956,5,0.5
dev,0.6320459840950218,1,1,1,0.6190179872268533,7,0.5
staging,0.4429946713431844,1,3,1,0.9326817499956134,8,0.5
dev,0.7615594168044294,1,1,1,0.3948221290830858,2,0.5
prod,0.5238632683321156,0,1,1,0.6108228091344696,8,0.5
dev,0.10610102775231356,1,2,0,0.7587756441203174,5,0.9
dev,0.7100543038608139,0,1,1,0.15891041495987113,6,0.5
staging,0.37407143347014327,1,1,1,0.5791194409572221,8,0.5
staging,0.945679969509878,0,1,1,0.7875013276551985,2,0.5
dev,0.9554741348222953,0,3,1,0.4640253497721515,3,0.5
dev,0.4404360405586262,0,3,0,0.13087727654041303,0,0.5
prod,0.475353914976511,1,2,0,0.5541749234213319,9,0.5
staging,0.6046323015084035,0,3,0,0.9596699772821433,7,0.5
dev,0.9529416866158749,0,1,0,0.4625364007613765,8,0.9
staging,0.747629159272928,0,3,1,0.4790348903865309,4,0.5
dev,0.6909634346672894,0,2,1,0.6297169834338985,2,0.5
staging,0.5309792002548603,0,1,1,0.7270603095033965,8,0.5
dev,0.45804141809000576,1,1,1,0.9222857378846283,8,0.5
dev,0.42347910385776066,1,3,0,0.0008246642592355524,6,0.5
dev,0.6905319745064845,1,1,0,0.8964511833801477,6,0.5
prod,0.5695891275484145,1,2,1,0.43368203145357365,2,0.9
staging,0.40430161384709407,1,2,0,0.8159898647836974,9,0.9
prod,0.1333880482721343,1,2,0,0.9493423664376878,4,0.5
staging,0.32664474556763445,0,2,1,0.2479787386943587,3,0.5
dev,0.3154706657285657,0,1,1,0.7401634890172429,6,0.5
staging,0.9164315717990045,1,2,1,0.03748722664214521,0,0.5
staging,0.9645988447257277,0,2,1,0.8043486123187655,6,0.5
prod,0.5146742998650201,0,2,0,0.5781020710840539,2,0.5
dev,0.9166101907389299,1,3,0,0.7058670299698665,4,0.5
dev,0.8538881472697499,0,3,0,0.29769370594013345,8,0.5
staging,0.4519127087563557,0,2,0,0.09944478381166544,7,0.5
staging,0.6218875705583775,1,3,1,0.503477843709607,5,0.5
dev,0.1056893837415952,0,1,0,0.6287890117697775,8,0.5
dev,0.5590707860961398,0,1,0,0.4615049499145826,4,0.5
staging,0.18061249310985308,1,3,1,0.8329229510674157,3,0.5
dev,0.6957303456223362,0,2,1,0.7525627435064156,6,0.5
prod,0.545933308528199,0,2,0,0.5969693301733072,0,0.5
staging,0.7452862832431971,0,2,1,0.29321290304653913,0,0.5
prod,0.436873267169794,1,2,1,0.3672137585004427,3,0.5
staging,0.7040964180821021,1,1,0,0.25084100654815156,6,0.5
prod,0.9731054565895586,0,1,0,0.4551239054825661,6,0.5
staging,0.9773101211598125,1,2,1,0.534748128628999,3,0.5
prod,0.9336556733928019,0,3,1,0.5132716259014972,8,0.5
staging,0.3525387311356496,1,2,1,0.5038461129557035,3,0.9
staging,0.3544500176408091,0,2,0,0.8701359313072466,0,0.5
dev,0.5566817104261623,1,2,0,0.12957155215344873,5,0.9
prod,0.5336191083763799,0,2,0,0.6698726437915206,9,0.9
staging,0.43954974118478995,1,3,0,0.5270804013983253,9,0.5
dev,0.14079512520309886,1,3,1,0.7879907941884639,5,0.5
dev,0.5066802646151493,1,3,1,0.14450039118882418,1,0.5
dev,0.9319420938801893,0,2,1,0.9287155450666084,1,0.5
dev,0.2221110687116506,1,3,1,0.29050429053730864,4,0.5
staging,0.22353027118030694,1,3,1,0.48610164355914354,2,0.5
dev,0.783117626750678,1,1,0,0.21703254685962337,1,0.9
dev,0.341956618191494,0,2,1,0.02190188241004165,0,0.5
prod,0.9862794373562167,0,3,1,0.8060022574253829,5,0.5
prod,0.9155060858521604,0,3,0,0.6776875417510982,7,0.5
prod,0.8785008498497404,1,3,0,0.023357655929811205,9,0.5
prod,0.1147635909449206,1,1,1,0.5717858733698037,0,0.9
staging,0.44270585644335614,0,2,0,0.1889193776265249,5,0.5
prod,0.7143660058914449,1,1,1,0.562425357428756,8,0.5
staging,0.7083199450784531,0,2,0,0.3861645167143293,2,0.5
dev,0.6770111054682356,0,2,1,0.1330353792993546,8,0.5
prod,0.13381336829731794,0,2,0,0.503625762732807,8,0.5
prod,0.7759006456558505,1,2,0,0.8996210661529018,0,0.9
staging,0.7145044465675338,1,1,0,0.40917305291009654,7,0.5
dev,0.14877841647540588,0,3,1,0.6018792498065005,9,0.5
staging,0.6894765385770677,0,3,0,0.444744895488262,5,0.5
staging,0.7941127803109117,0,3,0,0.03283026264005706,3,0.9
dev,0.8974757515402975,1,2,1,0.26602110495378173,0,0.5
dev,0.4293414160095629,1,2,1,0.7150161567598573,3,0.5
dev,0.6947494469761268,1,2,0,0.06663049353968675,0,0.5
dev,0.20428017573329882,0,2,0,0.008956314471710969,4,0.5
dev,0.21010299707018798,0,1,1,0.41399304382920676,4,0.5
prod,0.8598650820638326,0,1,0,0.16304508896324188,1,0.5
dev,0.5095309438830363,1,3,0,0.6894937589113277,3,0.5
prod,0.9219434953160822,1,1,0,0.23110508316095024,2,0.5
dev,0.17702878031471686,1,1,0,0.3228111848058245,2,0.5
staging,0.7818086017993158,1,2,0,0.24762944942606124,2,0.5
prod,0.17765401814564175,0,1,1,0.9859876034203748,4,0.5
dev,0.38964142999019835,0,1,0,0.05470706886884091,4,0.5
dev,0.7561499833686135,0,3,0,0.5099044073640964,4,0.5
staging,0.7567976061371415,1,2,0,0.9324918755277732,5,0.5
dev,0.8687652040249702,0,2,0,0.32691644856175783,0,0.5
prod,0.615186487349238,1,2,0,0.43956317128812517,8,0.5
staging,0.12997264481643486,0,3,0,0.6495283928494298,5,0.5
prod,0.31511531758833533,1,2,0,0.006539215782335184,1,0.5
staging,0.8036282928859708,0,3,0,0.7962083613489812,7,0.5
staging,0.7102134889593001,0,3,1,0.7175817834837005,1,0.5
dev,0.552437722357813,1,1,1,0.5226857310295937,4,0.5
dev,0.4271482831099255,1,2,1,0.4881237448003176,3,0.5
staging,0.9199080472560163,1,1,0,0.2544198861918725,6,0.5
prod,0.14450683656338428,1,3,0,0.21492073634990028,3,0.5
prod,0.7563099167805226,1,2,1,0.08385002934264663,4,0.5
dev,0.7663134647541251,1,3,1,0.7114834464208516,3,0.5
prod,0.8341527501174638,0,3,0,0.20302959993151748,0,0.5
dev,0.5083568414972546,0,2,1,0.12064743903817454,4,0.5
dev,0.4611260120204643,1,2,0,0.01513347047570357,5,0.5
staging,0.940671045598755,1,3,1,0.5593628409341975,5,0.5
staging,0.5739627086769655,1,2,0,0.12200363156164806,4,0.9
prod,0.9660521669682957,1,1,1,0.09116608718725194,7,0.5
staging,0.34728641629198254,1,2,0,0.9619519563954276,8,0.5
dev,0.48679460149734277,1,3,0,0.6054455371423492,5,0.5
prod,0.2158443242475855,1,3,1,0.3208326026424557,2,0.5
staging,0.2834434537916014,0,1,1,0.8171284886565013,7,0.5
staging,0.8745649414627482,0,3,1,0.1332405551654442,8,0.5
dev,0.8430326895091542,1,2,1,0.7712958775396151,8,0.9
staging,0.7452134503650538,0,1,1,0.8626272893996992,2,0.5
staging,0.7715707653014232,1,3,0,0.9993541741626343,3,0.5
prod,0.3143463249134314,1,2,1,0.8600791203533231,8,0.5
dev,0.5703557592766065,0,3,1,0.6497794241539466,7,0.5
dev,0.7760241021503784,0,2,0,0.16970388178653317,1,0.5
staging,0.2454194412862214,0,1,0,0.7909228855770177,8,0.5
prod,0.4872826042133199,0,2,1,0.9996499898329934,6,0.5
staging,0.2790970691869885,1,3,1,0.18210207948007628,5,0.5
staging,0.608417275196899,1,1,1,0.3329654973760664,6,0.5
staging,0.8925179716384434,0,3,0,0.2292784282084378,2,0.5
prod,0.23180682906319708,1,1,0,0.07882276482100714,7,0.5
staging,0.7814845484761175,0,2,1,0.7944453588253186,5,0.5
dev,0.1731896531200519,0,3,0,0.568608208814632,0,0.5
prod,0.1975104315507028,1,2,0,0.7602158795778292,5,0.5
staging,0.6559663000255658,1,1,1,0.3346125695799034,7,0.5
prod,0.3785483221177651,1,3,1,0.19030385863285637,9,0.9
staging,0.4721761447699462,1,3,1,0.08560457257438825,1,0.5
prod,0.7638578699369554,0,3,0,0.15866223635705834,4,0.5
staging,0.7797172994614167,1,2,1,0.3554349570571721,2,0.5
prod,0.5948048599914286,1,1,1,0.726863876606084,2,0.5
dev,0.8058805839694022,1,2,0,0.9575675827473574,7,0.5
prod,0.8839536110763904,1,1,0,0.4791295556783547,0,0.5
prod,0.2527344697265974,0,2,1,0.2164272933182263,0,0.5
staging,0.38248524483179536,1,1,0,0.836707235639877,1,0.5
prod,0.8153226256050926,1,2,0,0.543755766356625,2,0.5
staging,0.32765258575730655,0,3,0,0.10896300753471011,0,0.5
prod,0.45099931368413904,1,2,1,0.9141268315787002,1,0.5
prod,0.8538299088325086,1,3,0,0.9414976543464182,1,0.5
dev,0.7709227202613239,0,2,1,0.0456976593734717,2,0.5
staging,0.520283403521576,0,3,1,0.08915458925855646,6,0.5
staging,0.22839432945631336,0,2,0,0.4761458848783644,4,0.5
prod,0.7896285981973752,0,3,1,0.6723981011172927,6,0.5
prod,0.9221058490207071,0,3,0,0.6549353364484233,3,0.5
prod,0.6987974873119273,0,2,1,0.5141044947995649,2,0.5
dev,0.3303005438239742,1,1,1,0.9988596243930566,3,0.5
prod,0.76398012334652,0,1,1,0.535212372396666,0,0.9
dev,0.9635787054120643,1,2,0,0.5511009845989832,6,0.5
prod,0.6668517165232579,0,3,0,0.3418423339403531,4,0.5
dev,0.5851956133401226,0,3,1,0.07953501356397041,0,0.5
dev,0.3366331625679585,0,2,0,0.9193952205336787,1,0.5
staging,0.915254592845716,1,1,1,0.027538531319768023,9,0.5
prod,0.7025351099958586,1,2,1,0.9226026176963927,3,0.5
staging,0.44283471831598353,1,1,0,0.08570531782471913,5,0.5
prod,0.6425536911994527,1,2,1,0.877046874860568,9,0.5
staging,0.4264385257902902,1,2,0,0.6068963508762875,1,0.5
dev,0.21964340866370713,1,3,1,0.7697970163100243,2,0.5
dev,0.1551525992319201,0,2,0,0.6548463914404337,3,0.5
prod,0.3843243513553307,1,3,1,0.21795677574295336,9,0.9
dev,0.866034195372535,1,1,1,0.8407897963378368,8,0.5
dev,0.4151423325460294,0,1,0,0.05404772239200606,8,0.5
staging,0.28197681649638273,0,1,0,0.9656322418975085,1,0.5
staging,0.771098566807226,1,1,0,0.45483445372264475,1,0.5
dev,0.4084354033302636,0,1,1,0.0985169825502622,0,0.5
dev,0.6350581122915852,1,1,1,0.6253045453697702,8,0.5
dev,0.9284700131924483,1,3,1,0.4520061417381426,6,0.5
staging,0.7188065367695046,0,3,1,0.028640616218901904,0,0.5
staging,0.41944573476934144,0,2,0,0.8516943776420561,8,0.5
prod,0.15128823156399007,0,1,1,0.12524829787770675,9,0.9
staging,0.21651222748879673,1,3,0,0.37111962136474397,4,0.5
prod,0.5598793204107174,1,3,0,0.5713652102598686,7,0.5
prod,0.6557533258162068,1,2,0,0.9742119899785553,5,0.5
dev,0.7958665812055056,0,1,1,0.18954405951635123,1,0.5
prod,0.7763553240496681,1,1,0,0.9434794417443929,0,0.5
prod,0.35206628302441756,1,1,0,0.7998744183336063,1,0.5
staging,0.8922725919699788,1,2,1,0.20177441453769118,3,0.5
dev,0.2946505561229579,1,3,1,0.5602284174897655,9,0.5
prod,0.4772106287180844,1,2,0,0.1387094416893233,2,0.5
staging,0.2559761826969066,0,2,0,0.354748463200216,7,0.5
staging,0.14376026251271748,0,3,0,0.5032801187563728,4,0.5
staging,0.5126945804764261,0,1,0,0.06440609216368598,8,0.5
prod,0.5781486670047666,1,2,1,0.41981369948177827,7,0.5
staging,0.5858428272863428,0,2,0,0.8598885333528022,1,0.5
prod,0.25705924442747385,1,3,1,0.7508247520549501,1,0.5
staging,0.926462631153976,1,1,0,0.4632591669495447,4,0.5
staging,0.15326170223542024,1,1,1,0.015444150683073699,2,0.5
staging,0.3756334154462079,0,1,1,0.8124721199009327,0,0.5
staging,0.685658091996267,1,1,0,0.8299923258725989,9,0.5
dev,0.9691218951878702,0,2,0,0.35939408266655803,7,0.5
prod,0.8703325240332336,1,1,0,0.6664045057036089,4,0.5
prod,0.2893052145709631,1,2,0,0.3809148197316049,9,0.5
staging,0.17248231671000755,0,1,0,0.9782618135413351,3,0.5
prod,0.8606550883722885,0,2,0,0.29072069880524776,8,0.5
staging,0.8008437497770818,1,2,0,0.3600817653534719,5,0.5
dev,0.5234076231541545,0,1,0,0.9324595439940339,8,0.9
dev,0.31723734907354617,0,3,1,0.5721288996521177,3,0.5
prod,0.6152993306133325,1,1,0,0.635817532914145,1,0.5
prod,0.880882671310976,0,1,1,0.5898098677529341,6,0.5
staging,0.19637116387323095,1,3,1,0.014077041547217672,7,0.5
staging,0.13575427203502832,1,1,1,0.3961029177607537,7,0.5
dev,0.13806483383736223,1,1,1,0.75773173412156,8,0.5
prod,0.5754826999060606,1,2,0,0.7451487535671666,9,0.5
staging,0.22779907173718122,1,2,0,0.8797628665776059,0,0.5
staging,0.8479385945530586,0,1,0,0.33644514668490344,7,0.5
staging,0.8773035417783306,1,3,0,0.4203051844206356,7,0.5
dev,0.6994707341955463,1,1,1,0.10745391810814298,1,0.9
prod,0.49765430242163644,0,1,0,0.9498990401640178,0,0.5
prod,0.2728471159944399,1,3,1,0.28537160389705074,2,0.5
staging,0.1681713731912175,1,3,0,0.6499718010991067,9,0.5
dev,0.42049506299224226,0,2,0,0.03362779104153113,2,0.5
dev,0.26957525641099345,1,1,0,0.6034868080934052,7,0.5
prod,0.38209552962949644,0,1,0,0.04629939913067005,8,0.5
staging,0.29579834276183536,1,1,0,0.7949982399826532,6,0.5
prod,0.5346849804582869,0,1,0,0.021994360295609416,4,0.5
dev,0.6321873955998906,0,2,0,0.13975747864662336,1,0.5
prod,0.8386988315845195,1,3,0,0.32545674770563593,1,0.5
prod,0.750727522612245,0,3,0,0.36126848956423196,5,0.5
prod,0.944789941314832,1,2,1,0.48369816732598636,8,0.5
dev,0.43309261117889153,1,3,1,0.435057938182398,4,0.5
staging,0.14624204281972786,1,1,0,0.11608515814594988,6,0.5
dev,0.24271813975898543,1,1,1,0.217723008602556,6,0.5
dev,0.7075476701846544,1,1,1,0.6454675949262704,4,0.5
dev,0.7913638337782413,0,1,0,0.9562736458047019,3,0.5
dev,0.4644438467419417,1,2,1,0.7253550714244067,7,0.5
prod,0.5792597692926956,0,2,0,0.4924213591711406,0,0.5
staging,0.42536707055040024,0,3,0,0.7580257307135695,6,0.5
staging,0.45107798316568304,0,2,0,0.5811506426579781,9,0.5
prod,0.7417516834333225,1,3,0,0.15783388137429655,7,0.5
staging,0.8389862290824545,0,1,1,0.26921536293599213,7,0.5
staging,0.14103142501423313,0,1,1,0.6120202121268714,5,0.5
staging,0.7804154050627988,1,3,1,0.0683503453310701,4,0.5
dev,0.39595429575182195,1,3,0,0.48225403813276313,7,0.5
dev,0.5023036854187318,0,3,1,0.10946326594423983,2,0.5
prod,0.3037297087657197,0,2,0,0.4879780953375079,3,0.5
staging,0.5086197339550975,1,3,1,0.06411207644235006,1,0.5
dev,0.7163743863102424,0,2,1,0.9295960163791909,8,0.5
prod,0.43288729031121054,1,2,0,0.02075523495507181,2,0.5
prod,0.5661072805341292,0,1,0,0.7989613874437828,8,0.5
staging,0.5772054447126562,1,2,1,0.8642471762860169,1,0.9
prod,0.8199798300268871,0,2,1,0.6568630614272328,7,0.5
dev,0.3315383771952649,1,2,1,0.7197830449726427,2,0.5
staging,0.6399602533342619,1,1,0,0.14116155423275423,9,0.5
dev,0.42263377228258847,1,3,1,0.5535151627773498,6,0.5
dev,0.6830920481092918,0,3,0,0.37098036459966566,0,0.5
dev,0.31828378609863694,1,2,0,0.47349209446437623,6,0.5
dev,0.7751688974137257,0,1,0,0.8009073645984419,6,0.5
staging,0.641856892974987,1,2,1,0.18916802832316626,3,0.5
prod,0.6217893162387182,1,3,0,0.37642176796384674,8,0.5
dev,0.31010301191786505,0,1,0,0.5091911812136319,9,0.5
prod,0.37753892540744705,0,2,0,0.661734329914465,9,0.5
staging,0.6815853480596787,1,2,0,0.979655467250356,1,0.5
staging,0.30182418182489557,1,2,1,0.25427458338479747,8,0.9
dev,0.3437198007960076,1,1,0,0.6431774008162899,9,0.9
prod,0.7893508288069886,1,1,0,0.605846238018841,0,0.5
staging,0.9179459657267194,0,2,0,0.24137338180880608,5,0.9
staging,0.564867525046057,0,3,1,0.008257218578044068,3,0.5
staging,0.7715263845457305,0,2,0,0.34902216270834163,9,0.5
dev,0.7585800115554688,1,3,0,0.9293700263263484,2,0.5
dev,0.9271099173133793,0,1,0,0.866769429546073,2,0.5
staging,0.8135405721369067,0,3,1,0.2585752120671466,4,0.5
dev,0.11749541955167951,0,1,0,0.146855089680765,7,0.9
staging,0.9051052918529879,1,3,0,0.23222210664363985,1,0.5
prod,0.2827864689026449,0,2,0,0.7010343961430879,0,0.9
prod,0.8881315713250848,1,3,1,0.862168734774855,0,0.5
prod,0.5307224394320352,0,3,1,0.42419555460561376,1,0.5
staging,0.6955478512018629,0,2,0,0.7719330279205961,7,0.5
dev,0.1893255159382276,0,2,0,0.03360260627524181,2,0.5
prod,0.9433008439181622,0,2,1,0.8102743987110932,1,0.5
staging,0.245054277121099,0,3,1,0.17124733141211623,9,0.5
dev,0.855113155415132,0,1,0,0.7957244267961785,0,0.5
prod,0.568997737974117,1,3,0,0.7495511186916124,0,0.9
staging,0.8442381024331916,0,3,1,0.9516610877941896,3,0.5
staging,0.45945920939786533,0,1,1,0.573931102578975,3,0.5
dev,0.529222382029574,1,3,1,0.1486151955701952,4,0.5
staging,0.710956135116393,1,1,0,0.37298724448228715,8,0.5
dev,0.3172085295178425,0,1,1,0.15024893347503832,5,0.5
dev,0.9391292704272313,1,2,0,0.041664293874220104,1,0.5
staging,0.9251602087669194,0,1,0,0.24463770644399274,7,0.9
