technique_id,name,impact,mitre_tactic_score
T1206,Sudo Caching,Medium,0.5
T1087.002,Domain Account,Medium,0.5
T1547.014,Active Setup,Medium,0.5
T1564,Hide Artifacts,Medium,0.5
T1559.002,Dynamic Data Exchange,High,0.9
T1204.002,Malicious File,High,0.9
T1591.003,Identify Business Tempo,Medium,0.5
T1063,Security Software Discovery,Medium,0.5
T1071.005,Publish/Subscribe Protocols,Medium,0.5
T1592.001,Hardware,Medium,0.5
T1080,Taint Shared Content,Medium,0.5
T1484.002,Trust Modification,Medium,0.5
T1213.006,Databases,Medium,0.5
T1573.001,Symmetric Cryptography,Medium,0.5
T1087.001,Local Account,Medium,0.5
T1167,Securityd Memory,Medium,0.5
T1586.001,Social Media Accounts,Medium,0.5
T1176.001,Browser Extensions,Medium,0.5
T1527,Application Access Token,Medium,0.5
T1562.009,Safe Mode Boot,Medium,0.5
T1180,Screensaver,Medium,0.5
T1542.005,TFTP Boot,Medium,0.5
T1543.003,Windows Service,Medium,0.5
T1568.001,Fast Flux DNS,Medium,0.5
T1497.001,System Checks,Medium,0.5
T1053.003,Cron,High,0.9
T1069.002,Domain Groups,Medium,0.5
T1588.006,Vulnerabilities,Medium,0.5
T1566.002,Spearphishing Link,High,0.9
T1165,Startup Items,Medium,0.5
T1070.002,Clear Linux or Mac System Logs,Medium,0.5
T1499.004,Application or System Exploitation,Medium,0.5
T1137,Office Application Startup,Medium,0.5
T1218.004,InstallUtil,Medium,0.5
T1598.003,Spearphishing Link,Medium,0.5
T1021.004,SSH,Medium,0.5
T1098.003,Additional Cloud Roles,Medium,0.5
T1547.012,Print Processors,Medium,0.5
T1089,Disabling Security Tools,Medium,0.5
T1487,Disk Structure Wipe,Medium,0.5
T1566.001,Spearphishing Attachment,High,0.9
T1214,Credentials in Registry,Medium,0.5
T1027.008,Stripped Payloads,Medium,0.5
T1559.001,Component Object Model,High,0.9
T1574.001,DLL,Medium,0.5
T1119,Automated Collection,Medium,0.5
T1115,Clipboard Data,Medium,0.5
T1003.007,Proc Filesystem,Medium,0.5
T1583.005,Botnet,Medium,0.5
T1555.005,Password Managers,Medium,0.5
T1103,AppInit DLLs,Medium,0.5
T1553.001,Gatekeeper Bypass,Medium,0.5
T1675,ESXi Administration Command,High,0.9
T1608.004,Drive-by Target,Medium,0.5
T1007,System Service Discovery,Medium,0.5
T1040,Network Sniffing,Medium,0.5
T1017,Application Deployment Software,Medium,0.5
T1553.002,Code Signing,Medium,0.5
T1530,Data from Cloud Storage,Medium,0.5
T1565.003,Runtime Data Manipulation,Medium,0.5
T1552.002,Credentials in Registry,Medium,0.5
T1135,Network Share Discovery,Medium,0.5
T1120,Peripheral Device Discovery,Medium,0.5
T1036.009,Break Process Trees,Medium,0.5
T1590.004,Network Topology,Medium,0.5
T1587.002,Code Signing Certificates,Medium,0.5
T1222.001,Windows File and Directory Permissions Modification,Medium,0.5
T1137.006,Add-ins,Medium,0.5
T1505.002,Transport Agent,Medium,0.5
T1082,System Information Discovery,Medium,0.5
T1071,Application Layer Protocol,Medium,0.5
T1574.014,AppDomainManager,Medium,0.5
T1074.002,Remote Data Staging,Medium,0.5
T1098.006,Additional Container Cluster Roles,Medium,0.5
T1053,Scheduled Task/Job,High,0.9
T1218.007,Msiexec,Medium,0.5
T1162,Login Item,Medium,0.5
T1590.003,Network Trust Dependencies,Medium,0.5
T1498.002,Reflection Amplification,Medium,0.5
T1556.002,Password Filter DLL,Medium,0.5
T1505.005,Terminal Services DLL,Medium,0.5
T1059.002,AppleScript,High,0.9
T1176,Software Extensions,Medium,0.5
T1499.002,Service Exhaustion Flood,Medium,0.5
T1195.003,Compromise Hardware Supply Chain,High,0.9
T1106,Native API,High,0.9
T1558.005,Ccache Files,Medium,0.5
T1070.007,Clear Network Connection History and Configurations,Medium,0.5
T1558.004,AS-REP Roasting,Medium,0.5
T1058,Service Registry Permissions Weakness,Medium,0.5
T1584.003,Virtual Private Server,Medium,0.5
T1059.010,AutoHotKey & AutoIT,High,0.9
T1600.001,Reduce Key Space,Medium,0.5
T1070.003,Clear Command History,Medium,0.5
T1202,Indirect Command Execution,Medium,0.5
T1024,Custom Cryptographic Protocol,Medium,0.5
T1536,Revert Cloud Instance,Medium,0.5
T1091,Replication Through Removable Media,High,0.9
T1005,Data from Local System,Medium,0.5
T1140,Deobfuscate/Decode Files or Information,Medium,0.5
T1137.005,Outlook Rules,Medium,0.5
T1562,Impair Defenses,Medium,0.5
T1586.003,Cloud Accounts,Medium,0.5
T1586.002,Email Accounts,Medium,0.5
T1098.007,Additional Local or Domain Groups,Medium,0.5
T1608.001,Upload Malware,Medium,0.5
T1195,Supply Chain Compromise,High,0.9
T1190,Exploit Public-Facing Application,High,0.9
T1558,Steal or Forge Kerberos Tickets,Medium,0.5
T1555,Credentials from Password Stores,Medium,0.5
T1567,Exfiltration Over Web Service,Medium,0.5
T1219,Remote Access Tools,Medium,0.5
T1583.001,Domains,Medium,0.5
T1560.002,Archive via Library,Medium,0.5
T1055.003,Thread Execution Hijacking,Medium,0.5
T1079,Multilayer Encryption,Medium,0.5
T1036,Masquerading,Medium,0.5
T1546.011,Application Shimming,Medium,0.5
T1552,Unsecured Credentials,Medium,0.5
T1547.010,Port Monitors,Medium,0.5
T1070.008,Clear Mailbox Data,Medium,0.5
T1037.002,Login Hook,Medium,0.5
T1659,Content Injection,High,0.9
T1055,Process Injection,Medium,0.5
T1567.004,Exfiltration Over Webhook,Medium,0.5
T1139,Bash History,Medium,0.5
T1205,Traffic Signaling,Medium,0.5
T1021.008,Direct Cloud VM Connections,Medium,0.5
T1503,Credentials from Web Browsers,Medium,0.5
T1218,System Binary Proxy Execution,Medium,0.5
T1153,Source,High,0.9
T1038,DLL Search Order Hijacking,Medium,0.5
T1050,New Service,Medium,0.5
T1070.006,Timestomp,Medium,0.5
T1557.004,Evil Twin,Medium,0.5
T1620,Reflective Code Loading,Medium,0.5
T1016.002,Wi-Fi Discovery,Medium,0.5
T1480.002,Mutual Exclusion,Medium,0.5
T1564.011,Ignore Process Interrupts,Medium,0.5
T1611,Escape to Host,Medium,0.5
T1518.002,Backup Software Discovery,Medium,0.5
T1547.009,Shortcut Modification,Medium,0.5
T1010,Application Window Discovery,Medium,0.5
T1569.003,Systemctl,High,0.9
T1032,Standard Cryptographic Protocol,Medium,0.5
T1087.003,Email Account,Medium,0.5
T1062,Hypervisor,Medium,0.5
T1497.003,Time Based Checks,Medium,0.5
T1182,AppCert DLLs,Medium,0.5
T1218.003,CMSTP,Medium,0.5
T1563.001,SSH Hijacking,Medium,0.5
T1562.002,Disable Windows Event Logging,Medium,0.5
T1029,Scheduled Transfer,Medium,0.5
T1021.002,SMB/Windows Admin Shares,Medium,0.5
T1525,Implant Internal Image,Medium,0.5
T1572,Protocol Tunneling,Medium,0.5
T1218.002,Control Panel,Medium,0.5
T1599.001,Network Address Translation Traversal,Medium,0.5
T1608.002,Upload Tool,Medium,0.5
T1547.005,Security Support Provider,Medium,0.5
T1036.011,Overwrite Process Arguments,Medium,0.5
T1004,Winlogon Helper DLL,Medium,0.5
T1009,Binary Padding,Medium,0.5
T1550,Use Alternate Authentication Material,Medium,0.5
T1076,Remote Desktop Protocol,Medium,0.5
T1597.001,Threat Intel Vendors,Medium,0.5
T1011,Exfiltration Over Other Network Medium,Medium,0.5
T1602.002,Network Device Configuration Dump,Medium,0.5
T1589,Gather Victim Identity Information,Medium,0.5
T1131,Authentication Package,Medium,0.5
T1181,Extra Window Memory Injection,Medium,0.5
T1562.004,Disable or Modify System Firewall,Medium,0.5
T1560,Archive Collected Data,Medium,0.5
T1152,Launchctl,High,0.9
T1553.003,SIP and Trust Provider Hijacking,Medium,0.5
T1483,Domain Generation Algorithms,Medium,0.5
T1185,Browser Session Hijacking,Medium,0.5
T1021,Remote Services,Medium,0.5
T1071.003,Mail Protocols,Medium,0.5
T1556.007,Hybrid Identity,Medium,0.5
T1595.002,Vulnerability Scanning,Medium,0.5
T1059.009,Cloud API,High,0.9
T1596,Search Open Technical Databases,Medium,0.5
T1218.015,Electron Applications,Medium,0.5
T1562.012,Disable or Modify Linux Audit System,Medium,0.5
T1207,Rogue Domain Controller,Medium,0.5
T1553.006,Code Signing Policy Modification,Medium,0.5
T1610,Deploy Container,High,0.9
T1107,File Deletion,Medium,0.5
T1145,Private Keys,Medium,0.5
T1112,Modify Registry,Medium,0.5
T1543.004,Launch Daemon,Medium,0.5
T1580,Cloud Infrastructure Discovery,Medium,0.5
T1555.003,Credentials from Web Browsers,Medium,0.5
T1574.008,Path Interception by Search Order Hijacking,Medium,0.5
T1491,Defacement,Medium,0.5
T1535,Unused/Unsupported Cloud Regions,Medium,0.5
T1557.003,DHCP Spoofing,Medium,0.5
T1155,AppleScript,High,0.9
T1563,Remote Service Session Hijacking,Medium,0.5
T1564.013,Bind Mounts,Medium,0.5
T1027.001,Binary Padding,Medium,0.5
T1505.003,Web Shell,Medium,0.5
T1484.001,Group Policy Modification,Medium,0.5
T1217,Browser Information Discovery,Medium,0.5
T1552.004,Private Keys,Medium,0.5
T1583.004,Server,Medium,0.5
T1021.006,Windows Remote Management,Medium,0.5
T1011.001,Exfiltration Over Bluetooth,Medium,0.5
T1078.001,Default Accounts,High,0.9
T1547.003,Time Providers,Medium,0.5
T1183,Image File Execution Options Injection,Medium,0.5
T1085,Rundll32,High,0.9
T1031,Modify Existing Service,Medium,0.5
T1546.005,Trap,Medium,0.5
T1574.006,Dynamic Linker Hijacking,Medium,0.5
T1136.001,Local Account,Medium,0.5
T1681,Search Threat Vendor Data,Medium,0.5
T1674,Input Injection,High,0.9
T1092,Communication Through Removable Media,Medium,0.5
T1070.001,Clear Windows Event Logs,Medium,0.5
T1585.002,Email Accounts,Medium,0.5
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,Medium,0.5
T1222,File and Directory Permissions Modification,Medium,0.5
T1003.001,LSASS Memory,Medium,0.5
T1053.001,At (Linux),High,0.9
T1176.002,IDE Extensions,Medium,0.5
T1179,Hooking,Medium,0.5
T1595,Active Scanning,Medium,0.5
T1027.016,Junk Code Insertion,Medium,0.5
T1547.011,Plist Modification,Medium,0.5
T1548,Abuse Elevation Control Mechanism,Medium,0.5
T1134.002,Create Process with Token,Medium,0.5
T1548.001,Setuid and Setgid,Medium,0.5
T1547.004,Winlogon Helper DLL,Medium,0.5
T1019,System Firmware,Medium,0.5
T1021.003,Distributed Component Object Model,Medium,0.5
T1042,Change Default File Association,Medium,0.5
T1117,Regsvr32,High,0.9
T1110.003,Password Spraying,Medium,0.5
T1090.002,External Proxy,Medium,0.5
T1056.003,Web Portal Capture,Medium,0.5
T1589.002,Email Addresses,Medium,0.5
T1164,Re-opened Applications,Medium,0.5
T1054,Indicator Blocking,Medium,0.5
T1598.004,Spearphishing Voice,Medium,0.5
T1108,Redundant Access,Medium,0.5
T1193,Spearphishing Attachment,High,0.9
T1003.005,Cached Domain Credentials,Medium,0.5
T1098.004,SSH Authorized Keys,Medium,0.5
T1673,Virtual Machine Discovery,Medium,0.5
T1215,Kernel Modules and Extensions,Medium,0.5
T1101,Security Support Provider,Medium,0.5
T1590.006,Network Security Appliances,Medium,0.5
T1546.012,Image File Execution Options Injection,Medium,0.5
T1218.008,Odbcconf,Medium,0.5
T1593.002,Search Engines,Medium,0.5
T1177,LSASS Driver,High,0.9
T1591.002,Business Relationships,Medium,0.5
T1548.005,Temporary Elevated Cloud Access,Medium,0.5
T1125,Video Capture,Medium,0.5
T1144,Gatekeeper Bypass,Medium,0.5
T1045,Software Packing,Medium,0.5
T1055.013,Process Doppelgänging,Medium,0.5
T1016,System Network Configuration Discovery,Medium,0.5
T1578.003,Delete Cloud Instance,Medium,0.5
T1593.003,Code Repositories,Medium,0.5
T1574.005,Executable Installer File Permissions Weakness,Medium,0.5
T1546.008,Accessibility Features,Medium,0.5
T1496.002,Bandwidth Hijacking,Medium,0.5
T1504,PowerShell Profile,Medium,0.5
T1198,SIP and Trust Provider Hijacking,Medium,0.5
T1087,Account Discovery,Medium,0.5
T1090,Proxy,Medium,0.5
T1059,Command and Scripting Interpreter,High,0.9
T1204.005,Malicious Library,High,0.9
T1562.006,Indicator Blocking,Medium,0.5
T1136.002,Domain Account,Medium,0.5
T1564.014,Extended Attributes,Medium,0.5
T1589.003,Employee Names,Medium,0.5
T1677,Poisoned Pipeline Execution,High,0.9
T1482,Domain Trust Discovery,Medium,0.5
T1558.001,Golden Ticket,Medium,0.5
T1175,Component Object Model and Distributed COM,High,0.9
T1020,Automated Exfiltration,Medium,0.5
T1592.004,Client Configurations,Medium,0.5
T1562.007,Disable or Modify Cloud Firewall,Medium,0.5
T1219.001,IDE Tunneling,Medium,0.5
T1036.002,Right-to-Left Override,Medium,0.5
T1588.001,Malware,Medium,0.5
T1027.017,SVG Smuggling,Medium,0.5
T1542.002,Component Firmware,Medium,0.5
T1070,Indicator Removal,Medium,0.5
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Medium,0.5
T1137.001,Office Template Macros,Medium,0.5
T1583.003,Virtual Private Server,Medium,0.5
T1213.001,Confluence,Medium,0.5
T1550.003,Pass the Ticket,Medium,0.5
T1609,Container Administration Command,High,0.9
T1083,File and Directory Discovery,Medium,0.5
T1568,Dynamic Resolution,Medium,0.5
T1036.004,Masquerade Task or Service,Medium,0.5
T1055.004,Asynchronous Procedure Call,Medium,0.5
T1020.001,Traffic Duplication,Medium,0.5
T1138,Application Shimming,Medium,0.5
T1647,Plist File Modification,Medium,0.5
T1127.003,JamPlus,Medium,0.5
T1546.009,AppCert DLLs,Medium,0.5
T1191,CMSTP,High,0.9
T1188,Multi-hop Proxy,Medium,0.5
T1114.003,Email Forwarding Rule,Medium,0.5
T1074,Data Staged,Medium,0.5
T1649,Steal or Forge Authentication Certificates,Medium,0.5
T1098.005,Device Registration,Medium,0.5
T1049,System Network Connections Discovery,Medium,0.5
T1584,Compromise Infrastructure,Medium,0.5
T1553.005,Mark-of-the-Web Bypass,Medium,0.5
T1600.002,Disable Crypto Hardware,Medium,0.5
T1542,Pre-OS Boot,Medium,0.5
T1064,Scripting,High,0.9
T1612,Build Image on Host,Medium,0.5
T1051,Shared Webroot,Medium,0.5
T1055.002,Portable Executable Injection,Medium,0.5
T1218.012,Verclsid,Medium,0.5
T1586,Compromise Accounts,Medium,0.5
T1569.001,Launchctl,High,0.9
T1584.005,Botnet,Medium,0.5
T1059.008,Network Device CLI,High,0.9
T1552.003,Shell History,Medium,0.5
T1562.010,Downgrade Attack,Medium,0.5
T1559.003,XPC Services,High,0.9
T1497,Virtualization/Sandbox Evasion,Medium,0.5
T1102,Web Service,Medium,0.5
T1552.001,Credentials In Files,Medium,0.5
T1568.003,DNS Calculation,Medium,0.5
T1218.005,Mshta,Medium,0.5
T1547.015,Login Items,Medium,0.5
T1608,Stage Capabilities,Medium,0.5
T1608.005,Link Target,Medium,0.5
T1104,Multi-Stage Channels,Medium,0.5
T1657,Financial Theft,Medium,0.5
T1480,Execution Guardrails,Medium,0.5
T1619,Cloud Storage Object Discovery,Medium,0.5
T1606.001,Web Cookies,Medium,0.5
T1654,Log Enumeration,Medium,0.5
T1134.001,Token Impersonation/Theft,Medium,0.5
T1567.001,Exfiltration to Code Repository,Medium,0.5
T1021.007,Cloud Services,Medium,0.5
T1205.001,Port Knocking,Medium,0.5
T1027.012,LNK Icon Smuggling,Medium,0.5
T1583.006,Web Services,Medium,0.5
T1528,Steal Application Access Token,Medium,0.5
T1598.002,Spearphishing Attachment,Medium,0.5
T1098.001,Additional Cloud Credentials,Medium,0.5
T1204,User Execution,High,0.9
T1491.001,Internal Defacement,Medium,0.5
T1564.002,Hidden Users,Medium,0.5
T1134.003,Make and Impersonate Token,Medium,0.5
T1552.006,Group Policy Preferences,Medium,0.5
T1196,Control Panel Items,High,0.9
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Medium,0.5
T1087.004,Cloud Account,Medium,0.5
T1057,Process Discovery,Medium,0.5
T1562.003,Impair Command History Logging,Medium,0.5
T1053.004,Launchd,High,0.9
T1556.008,Network Provider DLL,Medium,0.5
T1546.003,Windows Management Instrumentation Event Subscription,Medium,0.5
T1596.004,CDNs,Medium,0.5
T1497.002,User Activity Based Checks,Medium,0.5
T1141,Input Prompt,Medium,0.5
T1496.004,Cloud Service Hijacking,Medium,0.5
T1585.003,Cloud Accounts,Medium,0.5
T1072,Software Deployment Tools,High,0.9
T1041,Exfiltration Over C2 Channel,Medium,0.5
T1134.004,Parent PID Spoofing,Medium,0.5
T1591,Gather Victim Org Information,Medium,0.5
T1060,Registry Run Keys / Startup Folder,Medium,0.5
T1606,Forge Web Credentials,Medium,0.5
T1621,Multi-Factor Authentication Request Generation,Medium,0.5
T1554,Compromise Host Software Binary,Medium,0.5
T1552.008,Chat Messages,Medium,0.5
T1059.001,PowerShell,High,0.9
T1023,Shortcut Modification,Medium,0.5
T1546.001,Change Default File Association,Medium,0.5
T1055.014,VDSO Hijacking,Medium,0.5
T1026,Multiband Communication,Medium,0.5
T1071.002,File Transfer Protocols,Medium,0.5
T1679,Selective Exclusion,Medium,0.5
T1122,Component Object Model Hijacking,Medium,0.5
T1015,Accessibility Features,Medium,0.5
T1212,Exploitation for Credential Access,Medium,0.5
T1546.014,Emond,Medium,0.5
T1102.003,One-Way Communication,Medium,0.5
T1590,Gather Victim Network Information,Medium,0.5
T1210,Exploitation of Remote Services,Medium,0.5
T1502,Parent PID Spoofing,Medium,0.5
T1142,Keychain,Medium,0.5
T1534,Internal Spearphishing,Medium,0.5
T1169,Sudo,Medium,0.5
T1574.010,Services File Permissions Weakness,Medium,0.5
T1547.001,Registry Run Keys / Startup Folder,Medium,0.5
T1199,Trusted Relationship,High,0.9
T1136.003,Cloud Account,Medium,0.5
T1069.001,Local Groups,Medium,0.5
T1149,LC_MAIN Hijacking,Medium,0.5
T1593,Search Open Websites/Domains,Medium,0.5
T1562.013,Disable or Modify Network Device Firewall,Medium,0.5
T1098,Account Manipulation,Medium,0.5
T1170,Mshta,High,0.9
T1048,Exfiltration Over Alternative Protocol,Medium,0.5
T1547.006,Kernel Modules and Extensions,Medium,0.5
T1678,Delay Execution,Medium,0.5
T1056.002,GUI Input Capture,Medium,0.5
T1097,Pass the Ticket,Medium,0.5
T1588.002,Tool,Medium,0.5
T1052.001,Exfiltration over USB,Medium,0.5
T1574.013,KernelCallbackTable,Medium,0.5
T1597,Search Closed Sources,Medium,0.5
T1053.006,Systemd Timers,High,0.9
T1566,Phishing,High,0.9
T1061,Graphical User Interface,High,0.9
T1542.004,ROMMONkit,Medium,0.5
T1218.001,Compiled HTML File,Medium,0.5
T1496.001,Compute Hijacking,Medium,0.5
T1070.005,Network Share Connection Removal,Medium,0.5
T1090.003,Multi-hop Proxy,Medium,0.5
T1110,Brute Force,Medium,0.5
T1059.004,Unix Shell,High,0.9
T1137.003,Outlook Forms,Medium,0.5
T1219.003,Remote Access Hardware,Medium,0.5
T1157,Dylib Hijacking,Medium,0.5
T1562.001,Disable or Modify Tools,Medium,0.5
T1565,Data Manipulation,Medium,0.5
T1559,Inter-Process Communication,High,0.9
T1001,Data Obfuscation,Medium,0.5
T1039,Data from Network Shared Drive,Medium,0.5
T1584.006,Web Services,Medium,0.5
T1601,Modify System Image,Medium,0.5
T1574,Hijack Execution Flow,Medium,0.5
T1036.012,Browser Fingerprint,Medium,0.5
T1059.011,Lua,High,0.9
T1027.005,Indicator Removal from Tools,Medium,0.5
T1204.003,Malicious Image,High,0.9
T1543.005,Container Service,Medium,0.5
T1078,Valid Accounts,High,0.9
T1571,Non-Standard Port,Medium,0.5
T1585.001,Social Media Accounts,Medium,0.5
T1073,DLL Side-Loading,Medium,0.5
T1055.012,Process Hollowing,Medium,0.5
T1068,Exploitation for Privilege Escalation,Medium,0.5
T1564.009,Resource Forking,Medium,0.5
T1531,Account Access Removal,Medium,0.5
T1110.004,Credential Stuffing,Medium,0.5
T1208,Kerberoasting,Medium,0.5
T1027,Obfuscated Files or Information,Medium,0.5
T1556.006,Multi-Factor Authentication,Medium,0.5
T1114.002,Remote Email Collection,Medium,0.5
T1505.004,IIS Components,Medium,0.5
T1036.001,Invalid Code Signature,Medium,0.5
T1564.006,Run Virtual Instance,Medium,0.5
T1154,Trap,High,0.9
T1027.014,Polymorphic Code,Medium,0.5
T1201,Password Policy Discovery,Medium,0.5
T1546,Event Triggered Execution,Medium,0.5
T1546.004,Unix Shell Configuration Modification,Medium,0.5
T1187,Forced Authentication,Medium,0.5
T1134.005,SID-History Injection,Medium,0.5
T1599,Network Boundary Bridging,Medium,0.5
T1486,Data Encrypted for Impact,Medium,0.5
T1488,Disk Content Wipe,Medium,0.5
T1553,Subvert Trust Controls,Medium,0.5
T1548.004,Elevated Execution with Prompt,Medium,0.5
T1592.003,Firmware,Medium,0.5
T1573,Encrypted Channel,Medium,0.5
T1174,Password Filter DLL,Medium,0.5
T1547.002,Authentication Package,Medium,0.5
T1218.010,Regsvr32,Medium,0.5
T1002,Data Compressed,Medium,0.5
T1567.003,Exfiltration to Text Storage Sites,Medium,0.5
T1081,Credentials in Files,Medium,0.5
T1592.002,Software,Medium,0.5
T1128,Netsh Helper DLL,Medium,0.5
T1056,Input Capture,Medium,0.5
T1566.004,Spearphishing Voice,High,0.9
T1587.004,Exploits,Medium,0.5
T1593.001,Social Media,Medium,0.5
T1213.004,Customer Relationship Management Software,Medium,0.5
T1546.015,Component Object Model Hijacking,Medium,0.5
T1589.001,Credentials,Medium,0.5
T1195.002,Compromise Software Supply Chain,High,0.9
T1036.003,Rename Legitimate Utilities,Medium,0.5
T1102.002,Bidirectional Communication,Medium,0.5
T1203,Exploitation for Client Execution,High,0.9
T1595.003,Wordlist Scanning,Medium,0.5
T1667,Email Bombing,Medium,0.5
T1562.011,Spoof Security Alerting,Medium,0.5
T1137.004,Outlook Home Page,Medium,0.5
T1573.002,Asymmetric Cryptography,Medium,0.5
T1567.002,Exfiltration to Cloud Storage,Medium,0.5
T1570,Lateral Tool Transfer,Medium,0.5
T1574.009,Path Interception by Unquoted Path,Medium,0.5
T1608.003,Install Digital Certificate,Medium,0.5
T1168,Local Job Scheduling,High,0.9
T1166,Setuid and Setgid,Medium,0.5
