environment,severity_weight,public_exposure,privilege_level,encryption_disabled,port_risk,history_incidents,mitre_tactic_score,env_encoded,env_prod
prod,0.5597614502127148,1,2,0,0.2244069910386485,0.0,0.0,1,1
staging,0.4791768315871002,0,1,0,0.30162402702782853,0.6666666666666666,0.0,2,0
staging,0.5481683443163572,0,2,1,0.43768981341602703,0.8888888888888888,0.0,2,0
prod,0.5230989603253988,1,3,0,0.664773607102551,0.5555555555555556,0.0,1,1
dev,0.832492196258085,0,3,1,0.8261880596810017,0.2222222222222222,0.0,0,0
dev,0.8731648366846788,0,2,1,0.02881075216217525,0.8888888888888888,0.0,0,0
dev,0.4355441403183409,0,3,1,0.3418862579016164,0.7777777777777777,0.0,0,0
staging,0.33723097853909334,1,3,0,0.42638268769981386,0.4444444444444444,0.0,2,0
prod,0.613697624927805,0,1,0,0.20101280857390805,0.2222222222222222,0.0,1,1
dev,0.3209973744388585,0,3,1,0.04421614372867521,1.0,0.0,0,0
dev,0.0869912120068773,0,3,0,0.23603538706373212,0.4444444444444444,0.0,0,0
staging,0.6895427364161985,1,1,0,0.8961948898750838,0.4444444444444444,0.0,2,0
staging,0.3955507149940308,1,2,1,0.04544184755028788,1.0,0.0,2,0
prod,0.35233803686469994,1,2,1,0.503803002439384,0.0,0.0,1,1
dev,0.12380294387916123,1,1,0,0.5852989994147,0.2222222222222222,0.0,0,0
staging,0.8189738531692998,1,1,0,0.7861427408588706,0.7777777777777777,1.0,2,0
dev,0.6665498744249281,1,3,1,0.9975360315854874,0.7777777777777777,0.0,0,0
prod,0.8812646482581699,1,3,1,0.8509474977494043,0.3333333333333333,0.0,1,1
dev,0.03735014688200326,1,1,1,0.4772134107098315,1.0,1.0,0,0
prod,0.3273088474154278,0,1,0,0.666963060548219,0.8888888888888888,0.0,1,1
prod,0.7124465753005478,1,2,1,0.9128725934391901,1.0,0.0,1,1
dev,0.06923924212016729,1,3,1,0.09117068836074699,1.0,0.0,0,0
dev,0.962491132182015,1,3,1,0.6871765658418764,0.3333333333333333,0.0,0,0
prod,0.41041494356384645,1,1,0,0.122665740070548,0.0,0.0,1,1
prod,0.5062642398279544,0,1,1,0.4669908852531632,1.0,0.0,1,1
staging,0.13910811237911336,1,2,0,0.40938683741293275,0.8888888888888888,0.0,2,0
staging,0.6153957025172138,0,3,1,0.02978802485168765,0.2222222222222222,0.0,2,0
dev,0.18740835452128252,1,3,1,0.9180143176109988,0.7777777777777777,0.0,0,0
prod,0.3101677555016235,0,3,1,0.12048801563587172,0.7777777777777777,0.0,1,1
prod,0.9650202817690926,0,2,0,0.36069936036669464,0.4444444444444444,0.0,1,1
prod,0.6142885630397784,0,3,1,0.45971773095091195,0.0,0.0,1,1
dev,0.8288965619437868,0,3,0,0.6028015558419685,0.0,1.0,0,0
staging,0.32291880934395273,0,2,0,0.9937599223286919,0.0,0.0,2,0
dev,0.6437140289892762,0,1,1,0.0287177251376918,0.4444444444444444,0.0,0,0
staging,0.388230208124833,1,2,0,0.8480934738188473,1.0,0.0,2,0
dev,0.46976600983597727,0,1,0,0.01601095047650672,0.2222222222222222,1.0,0,0
dev,0.38695862847512313,1,3,1,0.6227361139052155,0.8888888888888888,0.0,0,0
prod,0.4578924297200777,1,1,1,0.3037514083409042,1.0,0.0,1,1
staging,0.7970702757353519,1,3,1,0.015333844055659974,0.4444444444444444,0.0,2,0
staging,0.6923648120233192,1,3,0,0.4759789398560499,0.6666666666666666,0.0,2,0
staging,0.4013256387539301,0,2,1,0.3448418129646438,0.2222222222222222,0.0,2,0
dev,0.17487810081694083,1,1,0,0.9891107180913689,0.1111111111111111,0.0,0,0
dev,0.956914688423043,1,3,1,0.5584163728419731,0.5555555555555556,0.0,0,0
prod,0.5122869713627882,1,1,0,0.600694614441358,0.4444444444444444,0.0,1,1
prod,0.6432141771702614,1,2,1,0.10967844185429425,0.1111111111111111,0.0,1,1
staging,0.49117860060363594,1,1,0,0.5568773425242108,0.5555555555555556,0.0,2,0
prod,0.49940188151613585,0,3,1,0.8944784731789707,0.5555555555555556,1.0,1,1
dev,0.06283418114233753,1,1,1,0.5360667112215146,0.2222222222222222,0.0,0,0
staging,0.7415914934553103,0,3,0,0.8232361876478235,0.7777777777777777,0.0,2,0
prod,0.6526966625798465,1,2,1,0.12473094514059226,0.2222222222222222,0.0,1,1
staging,0.4732105385480352,1,3,1,0.5785148206492525,0.1111111111111111,0.0,2,0
dev,0.9824568843514542,0,1,0,0.5529749952934025,0.8888888888888888,1.0,0,0
staging,0.04898670902254555,1,2,1,0.3415578404135414,0.3333333333333333,0.0,2,0
staging,0.7831911715091151,1,1,0,0.1710795669242863,0.6666666666666666,0.0,2,0
dev,0.8190466357189504,0,1,1,0.25448389539992283,0.6666666666666666,0.0,0,0
staging,0.08754762066657028,0,2,1,0.6285056480985298,0.4444444444444444,0.0,2,0
dev,0.2626415835179375,1,1,1,0.6031914737614066,0.3333333333333333,0.0,0,0
prod,0.21915922659546294,0,1,1,0.5775322927453657,0.8888888888888888,1.0,1,1
dev,0.6191144140482182,0,3,0,0.9333638753081365,0.6666666666666666,0.0,0,0
dev,0.3579106052110079,1,2,0,0.6634777494652208,0.8888888888888888,0.0,0,0
prod,0.5987846122901296,1,2,0,0.8291471107775562,0.8888888888888888,0.0,1,1
prod,0.8233142443653902,1,2,1,0.8396104290186072,0.8888888888888888,0.0,1,1
staging,0.6911620380574992,0,2,0,0.7400382572174066,0.0,0.0,2,0
staging,0.13900332504835466,0,3,0,0.016697262246172087,0.3333333333333333,1.0,2,0
prod,0.9932328860271699,0,2,0,0.1812650372275756,1.0,0.0,1,1
dev,0.9231463213209453,1,2,1,0.9581932658712956,0.3333333333333333,0.0,0,0
prod,0.5501170046869542,1,1,0,0.41638815276104396,0.0,0.0,1,1
dev,0.8919215042074079,0,3,1,0.9168079491734212,0.1111111111111111,0.0,0,0
dev,0.652748486277903,1,2,0,0.3730690983447488,0.3333333333333333,0.0,0,0
prod,0.19610573665609177,0,2,0,0.48894816307663,0.6666666666666666,1.0,1,1
dev,0.869376030060322,0,3,1,0.34433056416069885,0.5555555555555556,0.0,0,0
dev,0.27266178047099426,0,3,1,0.9441953853275702,0.5555555555555556,0.0,0,0
staging,0.42163446692210393,0,2,0,0.21518987608421897,0.6666666666666666,0.0,2,0
staging,0.30943758668936655,1,3,1,0.5862648267131317,0.7777777777777777,0.0,2,0
prod,0.7970614948249816,0,3,1,0.8887954117730135,0.1111111111111111,0.0,1,1
dev,0.9010022738949773,0,3,0,0.797625562135678,0.5555555555555556,0.0,0,0
staging,0.9151055733688792,1,1,1,0.7173417609197617,0.5555555555555556,0.0,2,0
staging,0.7563305072559727,1,3,1,0.7895211302810875,0.0,0.0,2,0
dev,0.7945606364093947,0,1,0,0.9868821223222457,0.7777777777777777,1.0,0,0
dev,0.09635218832288721,1,2,1,0.6154648265053438,0.1111111111111111,0.0,0,0
dev,0.11215006067322263,0,1,0,0.37494920603828535,0.1111111111111111,0.0,0,0
prod,0.8646119221304941,1,1,0,0.612871184838348,0.5555555555555556,0.0,1,1
staging,0.5735165879919,0,3,0,0.8086328422174949,0.1111111111111111,0.0,2,0
dev,0.14841807562018094,0,3,1,0.7849319194727472,0.4444444444444444,0.0,0,0
staging,0.42728594531232333,0,2,1,0.8551221941735232,0.8888888888888888,0.0,2,0
staging,0.10565587639871186,0,1,1,0.6761207843410383,0.6666666666666666,0.0,2,0
dev,0.933848954739655,1,3,1,0.2894798814351455,0.3333333333333333,0.0,0,0
staging,0.6160225229939233,0,2,1,0.29139078575681654,0.5555555555555556,0.0,2,0
dev,0.5914716827863977,1,1,1,0.6189359122456166,0.7777777777777777,0.0,0,0
staging,0.3812981500530365,1,3,1,0.9327497085296543,0.8888888888888888,0.0,2,0
dev,0.7354553203117928,1,1,1,0.394632815406467,0.2222222222222222,0.0,0,0
prod,0.47120198869320984,0,1,1,0.6107368141869396,0.8888888888888888,0.0,1,1
dev,0.006764240723073023,1,2,0,0.7587604188521799,0.5555555555555556,1.0,0,0
dev,0.6781956727398125,0,1,1,0.1586082585900045,0.6666666666666666,0.0,0,0
staging,0.3046742949718817,1,1,1,0.5790182814661956,0.8888888888888888,0.0,2,0
staging,0.9401471917812073,0,1,1,0.7874998426267414,0.2222222222222222,0.0,2,0
dev,0.9510356341512815,0,3,1,0.4638691377913641,0.3333333333333333,0.0,0,0
dev,0.37845364999046976,0,3,0,0.1305617111931618,0.0,0.0,0,0
prod,0.4172728092712106,1,2,0,0.5540618323204191,1.0,0.0,1,1
staging,0.5609951395104263,0,3,0,0.9597508449854651,0.7777777777777777,0.0,2,0
dev,0.9482202419793885,0,1,0,0.46237947657764866,0.8888888888888888,1.0,0,0
staging,0.7199686707103464,0,3,1,0.47888585785841986,0.4444444444444444,0.0,2,0
dev,0.656971829525243,0,2,1,0.6296400260601174,0.2222222222222222,0.0,0,0
staging,0.4791129655022235,0,1,1,0.727029913967904,0.8888888888888888,0.0,2,0
dev,0.3980260313562195,1,1,1,0.9223487237363674,0.8888888888888888,0.0,0,0
dev,0.3596021580918912,1,3,0,0.00044689137350634346,0.6666666666666666,0.0,0,0
dev,0.6564921634234313,1,1,0,0.8965018118942277,0.6666666666666666,0.0,0,0
prod,0.5220366812899925,1,2,1,0.43351130547642164,0.2222222222222222,1.0,1,1
staging,0.3382820161376726,1,2,0,0.816002006561642,1.0,1.0,2,0
prod,0.03709997030325664,1,2,0,0.9494182941768081,0.4444444444444444,0.0,1,1
staging,0.2519487444468909,0,2,1,0.24771918601448104,0.3333333333333333,0.0,2,0
dev,0.23952621322699663,0,1,1,0.7401393610724546,0.6666666666666666,0.0,0,0
staging,0.9076309453494568,1,2,1,0.03712699041116008,0.0,0.0,2,0
staging,0.9611798245705722,0,2,1,0.804355185783641,0.6666666666666666,0.0,2,0
prod,0.46098636026517537,0,2,0,0.5780004249586228,0.2222222222222222,0.0,1,1
dev,0.9078295209270121,1,3,0,0.7058264971389446,0.4444444444444444,0.0,0,0
dev,0.8380997038509606,0,3,0,0.29745793321887115,0.8888888888888888,0.0,0,0
staging,0.39121257699295886,0,2,0,0.09911418348767222,0.7777777777777777,0.0,2,0
staging,0.5801782956689778,1,3,1,0.5033405028802069,0.5555555555555556,0.0,2,0
dev,0.00630660477914935,0,1,0,0.6287116105230747,0.8888888888888888,0.0,0,0
dev,0.5103431524308609,0,1,0,0.4613475323611552,0.4444444444444444,0.0,0,0
staging,0.08960068166273709,1,3,1,0.8329431923798338,0.3333333333333333,0.0,2,0
dev,0.6622713352576506,0,2,1,0.7525445464467299,0.6666666666666666,0.0,0,0
prod,0.49573785807205417,0,2,0,0.5968767087473819,0.0,0.0,1,1
staging,0.7173640311299209,0,2,1,0.29297498704100494,0.0,0.0,2,0
prod,0.3744928170369203,1,2,1,0.3670112390239156,0.3333333333333333,0.0,1,1
staging,0.6715721276106791,1,1,0,0.25058282296524564,0.6666666666666666,0.0,2,0
prod,0.9706368584360802,0,1,0,0.4549634357100401,0.6666666666666666,0.0,1,1
staging,0.9753112994321554,1,2,1,0.5346257451881374,0.3333333333333333,0.0,2,0
prod,0.9267794517916136,0,3,1,0.5131389696922047,0.8888888888888888,0.0,1,1
staging,0.2807357988405321,1,2,1,0.5037089482790379,0.3333333333333333,1.0,2,0
staging,0.28286062850189647,0,2,0,0.8701739725535496,0.0,0.0,2,0
dev,0.5076871514424647,1,2,0,0.1292553622443481,0.5555555555555556,1.0,0,0
prod,0.4820478238108753,0,2,0,0.6698148939118681,1.0,1.0,1,1
staging,0.3774683266528685,1,3,0,0.5269543502846014,1.0,0.0,2,0
dev,0.04533462100812703,1,3,1,0.7879895432845481,0.5555555555555556,0.0,0,0
dev,0.4520991718886215,1,3,1,0.14419134213074092,0.1111111111111111,0.0,0,0
dev,0.9248744184197583,0,2,1,0.9287816064619344,0.1111111111111111,0.0,0,0
dev,0.13573578705119466,1,3,1,0.2902650789321403,0.4444444444444444,0.0,0,0
staging,0.13731355338436446,1,3,1,0.4859559912424114,0.2222222222222222,0.0,2,0
dev,0.7594221739551644,1,1,0,0.21675819181333764,0.1111111111111111,1.0,0,0
dev,0.26897137346372396,0,2,1,0.021534191304571418,0.0,0.0,0,0
prod,0.9852827344026992,0,3,1,0.8060096218716143,0.5555555555555556,0.0,1,1
prod,0.906602057223202,0,3,0,0.6776335299398859,0.7777777777777777,0.0,1,1
prod,0.865462320783129,1,3,0,0.02299066115858343,1.0,0.0,1,1
prod,0.016394649960728633,1,1,1,0.5716812060431414,0.0,1.0,1,1
staging,0.38097706660262626,0,2,0,0.18863157532204017,0.5555555555555556,0.0,2,0
prod,0.6829891102181382,1,1,1,0.5623162127244743,0.8888888888888888,0.0,1,1
staging,0.6762675384835094,0,2,0,0.38597106187710545,0.2222222222222222,0.0,2,0
dev,0.6414606422452411,0,2,1,0.1327208462286418,0.8888888888888888,0.0,0,0
prod,0.037572810247787566,0,2,0,0.5034884926569132,0.8888888888888888,0.0,1,1
prod,0.7513988580083407,1,2,0,0.89967321090415,0.0,1.0,1,1
staging,0.6831430185171289,1,1,0,0.40899060365265777,0.7777777777777777,0.0,2,0
dev,0.05420986500996412,0,3,1,0.6017889769225164,1.0,0.0,0,0
staging,0.655318806335187,0,3,0,0.4445794611659876,0.5555555555555556,0.0,2,0
staging,0.7716457879204034,0,3,0,0.0324677988623716,0.3333333333333333,1.0,2,0
dev,0.8865572397420234,1,2,1,0.26577018240576855,0.0,0.0,0,0
dev,0.3661194513970551,1,2,1,0.7149800001936397,0.3333333333333333,0.0,0,0
dev,0.6611808433127584,1,2,0,0.0662841972893379,0.0,0.0,0,0
dev,0.11591269397397265,0,2,0,0.008582431165242082,0.4444444444444444,0.0,0,0
dev,0.12238608425640686,0,1,1,0.41381290009847216,0.4444444444444444,0.0,0,0
prod,0.8447444262932652,0,1,0,0.16274491031521904,0.1111111111111111,0.0,1,1
dev,0.4552683502651189,1,3,0,0.689445394320078,0.3333333333333333,0.0,0,0
prod,0.9137587019932895,1,1,0,0.2308374593738687,0.2222222222222222,0.0,1,1
dev,0.08561656979653583,1,1,0,0.32258742642633975,0.2222222222222222,0.0,0,0
staging,0.7579668949916957,1,2,0,0.2473697296720647,0.2222222222222222,0.0,2,0
prod,0.08631166385227783,0,1,1,0.9860810595270508,0.4444444444444444,0.0,1,1
dev,0.3219838874080988,0,1,0,0.054355069335136307,0.4444444444444444,0.0,0,0
dev,0.7294415047040494,0,3,0,0.5097701405268199,0.4444444444444444,0.0,0,0
staging,0.7301614847092598,1,2,0,0.9325597432399302,0.5555555555555556,0.0,2,0
dev,0.8546389361334878,0,2,0,0.32669465383643254,0.0,0.0,0,0
prod,0.5727285175600375,1,2,0,0.4393952584127335,0.8888888888888888,0.0,1,1
staging,0.033302972548809054,0,3,0,0.64946091178675,0.5555555555555556,0.0,2,0
prod,0.23913116294728504,1,2,0,0.006164176314855081,0.1111111111111111,0.0,1,1
staging,0.7822244443949772,0,3,0,0.796211041120631,0.7777777777777777,0.0,2,0
staging,0.6783726431824948,0,3,1,0.7175468541233063,0.1111111111111111,0.0,2,0
dev,0.5029689934343576,1,1,1,0.5225575778310191,0.4444444444444444,0.0,0,0
dev,0.3636812853639231,1,2,1,0.4879790597070696,0.3333333333333333,0.0,0,0
staging,0.9114958385238309,1,1,0,0.254163414479949,0.6666666666666666,0.0,2,0
prod,0.04946103239201281,1,3,0,0.2146453711698599,0.3333333333333333,0.0,1,1
prod,0.7296193070673007,1,2,1,0.0835119696430079,0.4444444444444444,0.0,1,1
dev,0.7407405258881378,1,3,1,0.7114456000676279,0.3333333333333333,0.0,0,0
prod,0.8161593212161323,0,3,0,0.20274854691243013,0.0,0.0,1,1
dev,0.45396306842063716,0,2,1,0.12032698049424788,0.4444444444444444,0.0,0,0
dev,0.40145525908268,1,2,0,0.014762541863208625,0.5555555555555556,0.0,0,0
staging,0.9345786336036969,1,3,1,0.5592522313488241,0.5555555555555556,0.0,2,0
staging,0.5268989114596934,1,2,0,0.12168382171978978,0.4444444444444444,1.0,2,0
prod,0.9627955227927866,1,1,1,0.09083152694788466,0.7777777777777777,0.0,1,1
staging,0.27489665628366217,1,2,0,0.9620339156285621,0.8888888888888888,0.0,2,0
dev,0.4299917344560068,1,3,0,0.6053569701061199,0.5555555555555556,0.0,0,0
prod,0.1287688752451988,1,3,1,0.32060789785579086,0.2222222222222222,0.0,1,1
staging,0.20392068275798675,0,1,1,0.8171411750677843,0.7777777777777777,0.0,2,0
staging,0.861086663411763,0,3,1,0.13292612023567113,0.8888888888888888,0.0,2,0
dev,0.8260313935400077,1,2,1,0.7712866410239412,0.8888888888888888,1.0,0,0
staging,0.7172830608204547,0,1,1,0.8626617390677771,0.2222222222222222,0.0,2,0
staging,0.7465852111885626,1,3,0,0.9994540238468724,0.3333333333333333,0.0,2,0
prod,0.23827625268626618,1,2,1,0.8601123511660377,0.8888888888888888,0.0,1,1
dev,0.5228889668217577,0,3,1,0.6497120631660525,0.7777777777777777,0.0,0,0
dev,0.7515361079814624,0,2,0,0.1694068882118703,0.1111111111111111,0.0,0,0
staging,0.16164834452014737,0,1,0,0.7909230371684819,0.8888888888888888,0.0,2,0
prod,0.43053426046816434,0,2,1,0.9997499810135411,0.6666666666666666,0.0,1,1
staging,0.1990886877103326,1,3,1,0.18181101628502325,0.5555555555555556,0.0,2,0
staging,0.5652029986352035,1,1,1,0.3327465960677227,0.6666666666666666,0.0,2,0
staging,0.8810455397632196,0,3,0,0.22900993068490266,0.2222222222222222,0.0,2,0
prod,0.1465148299256312,1,1,0,0.07848230045032271,0.7777777777777777,0.0,1,1
staging,0.7576066360189374,0,2,1,0.7944471953071228,0.5555555555555556,0.0,2,0
dev,0.08134850673275477,0,3,0,0.5685020215285732,0.0,0.0,0,0
prod,0.10838658357650073,1,2,0,0.7602013432116758,0.5555555555555556,0.0,1,1
staging,0.6180645544784336,1,1,1,0.33439445610892565,0.7777777777777777,0.0,2,0
prod,0.3096513749457177,1,3,1,0.19001671856155522,1.0,1.0,1,1
staging,0.41373999492146163,1,3,1,0.08526735211829628,0.1111111111111111,0.0,2,0
prod,0.7380105737382484,0,3,0,0.15835996127692734,0.4444444444444444,0.0,1,1
staging,0.7556419367886983,1,2,1,0.355226803474331,0.2222222222222222,0.0,2,0
prod,0.5500697030705091,1,1,1,0.7268333871116405,0.2222222222222222,0.0,1,1
dev,0.7847283782045773,1,2,0,0.9576474448208299,0.7777777777777777,0.0,0,0
prod,0.8715243050850359,1,1,0,0.47898056843110864,0.0,0.0,1,1
prod,0.16978066239184064,0,2,1,0.21615264876346935,0.0,0.0,1,1
staging,0.3140281599722893,1,1,0,0.8367292870737839,0.1111111111111111,0.0,2,0
prod,0.7952253550195095,1,2,0,0.5436376915025785,0.2222222222222222,0.0,1,1
staging,0.2530691880450377,0,3,0,0.10863696002405997,0.0,0.0,2,0
prod,0.3901971306238504,1,2,1,0.9141859148138822,0.1111111111111111,0.0,1,1
prod,0.8380349585819766,1,3,0,0.9415698297562258,0.1111111111111111,0.0,1,1
dev,0.7458647617324576,0,2,1,0.045341350405469584,0.2222222222222222,0.0,0,0
staging,0.46722215473708917,0,3,1,0.0888190668675445,0.6666666666666666,0.0,2,0
staging,0.14272106045960575,0,2,0,0.4759954704639678,0.4444444444444444,0.0,2,0
prod,0.7666605996003474,0,3,1,0.6723415592293984,0.6666666666666666,0.0,1,1
prod,0.9139391950623758,0,3,0,0.6548704416671421,0.3333333333333333,0.0,1,1
prod,0.6656811608489773,0,2,1,0.5139722369730739,0.2222222222222222,0.0,1,1
dev,0.2560129956986344,1,1,1,0.9989592375213096,0.3333333333333333,0.0,0,0
prod,0.7381464862087987,0,1,1,0.5350902110156426,0.0,1.0,1,1
dev,0.9600457076987455,1,2,0,0.5509864231533828,0.6666666666666666,0.0,0,0
prod,0.6301661707396078,0,3,0,0.3416276786532346,0.4444444444444444,0.0,1,1
dev,0.5393868398509223,0,3,1,0.07919488988033803,0.0,0.0,0,0
dev,0.26305314174947814,0,2,0,0.9194568237759787,0.1111111111111111,0.0,0,0
staging,0.9063224655459331,1,1,1,0.02717353636970591,1.0,0.0,2,0
prod,0.6698363785624738,1,2,1,0.9226657551199668,0.3333333333333333,0.0,1,1
staging,0.381120325882927,1,1,0,0.08536814555769412,0.5555555555555556,0.0,2,0
prod,0.6031533891491812,1,2,1,0.8770882217904667,1.0,0.0,1,1
staging,0.36289222867301857,1,2,0,0.6068084778019063,0.1111111111111111,0.0,2,0
dev,0.1329924216531344,1,3,1,0.7697870628501384,0.2222222222222222,0.0,0,0
dev,0.061296218914225306,0,2,0,0.6547814541144477,0.3333333333333333,0.0,0,0
prod,0.31607274516716594,1,3,1,0.21768286277932028,1.0,1.0,1,1
dev,0.8516027988644431,1,1,1,0.8408138005664415,0.8888888888888888,0.0,0,0
dev,0.35033394062927714,0,1,0,0.05369540747577575,0.8888888888888888,0.0,0,0
staging,0.20229018182632036,0,1,0,0.965715961506678,0.1111111111111111,0.0,2,0
staging,0.7460602551634908,1,1,0,0.4546738454978325,0.1111111111111111,0.0,2,0
dev,0.34287766335433195,0,1,1,0.09818593843485525,0.0,0.0,0,0
dev,0.5948203483677287,1,1,1,0.6252254774123889,0.8888888888888888,0.0,0,0
dev,0.9210144110309934,1,3,1,0.4518441806583318,0.6666666666666666,0.0,0,0
staging,0.6879257702617448,0,3,1,0.028276148424639044,0.0,0.0,2,0
staging,0.3551181509840254,0,2,0,0.851723597814802,0.8888888888888888,0.0,2,0
prod,0.05700009532361268,0,1,1,0.12493004004392554,1.0,1.0,1,1
staging,0.1295114016084708,1,3,0,0.3709189701637567,0.4444444444444444,0.0,2,0
prod,0.5112420222178905,1,3,0,0.5712603417191274,0.7777777777777777,0.0,1,1
prod,0.6178277852049991,1,2,0,0.974299813503821,0.5555555555555556,0.0,1,1
dev,0.7735955365064477,0,1,1,0.18925655601342084,0.1111111111111111,0.0,0,0
prod,0.7519043364569967,1,1,0,0.9435525650945275,0.0,0.0,1,1
prod,0.2802105653093522,1,1,0,0.7998788516754223,0.1111111111111111,0.0,1,1
staging,0.8807727444515582,1,2,1,0.20149276113086603,0.3333333333333333,0.0,2,0
dev,0.2163799259888306,1,3,1,0.5601182219321146,1.0,0.0,0,0
prod,0.4193369688935946,1,2,0,0.13839762266985683,0.2222222222222222,0.0,1,1
